Date,Page Views,Amount Spent,Total Page Likes,Daily Paid Likes,Daily Organic Likes,Paid Post Impressions,Organic Post Impressions,,
2/16/2017,2,$0.00,52,0,0,0,6,,
2/17/2017,0,$0.00,52,0,0,0,0,,
2/18/2017,0,$0.00,52,0,0,0,0,,
2/19/2017,0,$0.00,52,0,0,0,18,,
2/20/2017,0,$0.00,52,0,0,0,6,,
2/21/2017,0,$0.00,52,0,0,0,11,,
2/22/2017,0,$0.00,52,0,0,0,19,,
2/23/2017,0,$0.00,52,0,0,0,28,,
2/24/2017,2,$0.00,52,0,0,0,16,,
2/25/2017,1,$0.00,52,0,0,0,1,,
2/26/2017,0,$0.00,52,0,0,0,16,,
2/27/2017,3,$0.00,52,0,0,0,30,,
2/28/2017,1,$0.00,52,0,0,0,22,,
3/1/2017,2,$0.00,52,0,0,0,16,,
3/2/2017,0,$0.00,52,0,0,0,35,,
3/3/2017,1,$0.00,53,0,1,0,7,,
3/4/2017,0,$0.00,53,0,0,0,2,,
3/5/2017,0,$0.00,53,0,0,0,28,,
3/6/2017,0,$0.00,52,0,0,0,18,,
3/7/2017,0,$0.00,52,0,0,0,27,,
3/8/2017,1,$0.00,52,0,0,156,23,,
3/9/2017,1,$2.66,53,0,1,522,8,,
3/10/2017,1,$8.99,55,1,1,584,2,,
3/11/2017,0,$9.75,56,1,0,538,0,,
3/12/2017,0,$7.85,57,1,0,59,15,,
3/13/2017,0,$0.75,57,0,0,0,21,,
3/14/2017,1,$0.00,57,0,0,0,16,,
3/15/2017,0,$0.00,57,0,0,0,18,,
3/16/2017,3,$0.00,57,0,0,357,6,,
3/17/2017,0,$5.38,59,2,0,603,3,,
3/18/2017,1,$8.83,69,10,0,770,0,,
3/19/2017,4,$8.32,80,11,0,298,19,,
3/20/2017,0,$6.26,84,4,0,28,21,,
3/21/2017,2,$1.21,84,0,0,0,20,,
3/22/2017,0,$0.00,84,0,0,0,10,,
3/23/2017,1,$0.00,84,0,0,1440,14,,
3/24/2017,0,$8.08,83,0,0,3751,6,,
3/25/2017,0,$27.82,83,0,0,2988,0,,
3/26/2017,0,$22.19,83,0,0,1673,23,,
3/27/2017,3,$11.47,85,0,2,436,26,,
3/28/2017,0,$4.25,85,0,0,324,21,,
3/29/2017,0,$9.01,85,0,0,441,19,,
3/30/2017,0,$11.13,87,2,0,518,55,,
3/31/2017,2,$10.56,91,4,0,78,33,,
4/1/2017,1,$0.70,91,0,0,0,4,,
4/2/2017,1,$0.00,91,0,0,0,1,,
4/3/2017,2,$0.00,91,0,0,0,11,,
4/4/2017,3,$0.00,91,0,0,173,12,,
4/5/2017,0,$4.85,91,0,0,350,12,,
4/6/2017,4,$9.78,99,8,0,2738,4,,
4/7/2017,3,$22.27,110,10,1,3920,1,,
4/8/2017,0,$24.25,116,6,0,4283,1,,
4/9/2017,5,$26.52,128,12,0,1026,182,,
4/10/2017,12,$11.68,136,7,1,0,40,,
4/11/2017,4,$4.85,138,2,0,245,39,,
4/12/2017,1,$8.45,142,4,0,347,27,,
4/13/2017,1,$7.75,142,0,0,346,16,,
4/14/2017,0,$6.53,142,0,0,2141,6,,
4/15/2017,1,$18.52,147,4,1,2715,1,,
4/16/2017,3,$22.92,160,13,0,2124,22,,
4/17/2017,2,$20.25,177,17,0,2652,31,,
4/18/2017,1,$19.55,192,16,0,3221,41,,
4/19/2017,5,$19.41,202,9,0,141,26,,
4/20/2017,3,$0.39,205,2,1,1,4,,
4/21/2017,1,$0.00,205,0,0,0,0,,
4/22/2017,0,$0.00,204,0,0,449,27,,
4/23/2017,1,$19.22,215,11,0,937,41,,
4/24/2017,13,$25.50,231,15,1,1951,54,,
4/25/2017,11,$26.56,245,14,0,1923,39,,
4/26/2017,10,$35.09,263,10,8,2549,5,,
4/27/2017,12,$41.84,275,8,4,5290,18,,
4/28/2017,13,$66.61,310,27,8,2518,6,,
4/29/2017,10,$57.49,336,26,0,3618,2,,
4/30/2017,12,$77.57,395,58,0,5656,37,,
5/1/2017,13,$55.99,412,17,0,6883,29,,
5/2/2017,2,$43.62,423,10,1,6643,81,,
5/3/2017,8,$54.84,424,0,1,6003,74,,
5/4/2017,13,$56.96,426,2,0,2637,90,,
5/5/2017,4,$16.70,426,0,0,1623,60,,
5/6/2017,0,$7.64,426,0,0,2738,63,,
5/7/2017,0,$17.42,426,0,0,1378,75,,
5/8/2017,4,$17.42,436,10,0,1107,100,,
5/9/2017,10,$38.17,460,24,1,5966,76,,
5/10/2017,11,$74.58,483,23,0,4795,54,,
5/11/2017,14,$100.49,502,19,0,7044,27,,
5/12/2017,4,$81.69,514,13,0,6746,145,,
5/13/2017,2,$71.66,534,20,1,5837,58,,
5/14/2017,7,$82.65,551,17,0,6749,42,,
5/15/2017,9,$80.40,568,16,1,4434,38,,
5/16/2017,6,$72.06,583,16,0,5635,29,,
